config_id,alpha,batch_size,depth,learning_rate_init,cost_standard,status,start_time,end_time,budget,additional
0,1.3646716470095907e-06,50,1,0.0001145199593038774,0.2152466367713004,success,0,1,1,
1,0.07654259389007832,10,2,0.006273080002552674,0.21973094170403584,success,1,2,1,
2,0.0005027533412617669,115,1,0.00295471450409257,0.2017937219730942,success,2,3,1,
3,2.8225938907523333e-08,23,3,0.07857605977447317,0.27802690582959644,success,3,4,1,
4,2.463348962287325e-07,248,2,0.274920369938409,0.21973094170403584,success,4,5,1,
5,0.9950935912940565,256,1,0.47804577046836816,0.22421524663677128,success,5,6,1,
6,0.9957665018713285,256,1,0.0008817359962067657,0.2152466367713004,success,6,7,1,
7,0.005055854205768592,14,1,1.8619510973047076e-05,0.22421524663677128,success,7,8,1,
8,2.1503364289520362e-06,204,1,5.588383341582968e-05,0.24215246636771304,success,8,9,1,
9,2.800884208430205e-07,111,1,0.042189605131541526,0.22421524663677128,success,9,10,1,
10,0.032628210585064495,117,1,0.0006779572250491132,0.2017937219730942,success,10,11,1,
11,1.0565880304814365e-06,118,1,0.0037969172302121253,0.18834080717488788,success,11,12,1,
12,1.0009627946647301e-08,120,1,0.13550327231240164,0.2017937219730942,success,12,13,1,
13,4.172035443905602e-08,118,1,1.45601719008579e-05,0.2959641255605381,success,13,14,1,
14,4.5114221616599717e-07,74,1,0.001288842472416589,0.2017937219730942,success,14,15,1,
15,5.180216503952812e-07,8,1,0.004129298903325028,0.19730941704035876,success,15,16,1,
16,1.0076720776449232e-08,256,1,0.004221358760173003,0.22421524663677128,success,16,17,1,
17,6.556390767650093e-06,62,1,0.0031313527219933033,0.19282511210762332,success,17,18,1,
18,0.00017085963917909294,9,1,0.00039970375975263136,0.2152466367713004,success,18,19,1,
19,0.0016782884421133657,10,2,0.00016677385206563238,0.2017937219730942,success,19,20,1,
